time,gFx,gFy,gFz,ax,ay,az
0.004,-0.23,0.38,0.93,0.1,0,0.93
0.005,-0.23,0.38,0.98,0.16,-0.01,0.98
0.007,-0.24,0.37,0.96,0.13,-0.05,0.96
0.008,-0.24,0.37,0.92,0.07,-0.05,0.92
0.009,-0.25,0.37,0.88,-0.03,-0.03,0.88
0.034,-0.26,0.37,0.87,-0.14,-0.07,0.87
0.035,-0.27,0.36,0.85,-0.23,-0.13,0.85
0.046,-0.27,0.36,0.86,-0.24,-0.15,0.86
0.073,-0.26,0.37,0.89,-0.2,-0.09,0.89
0.077,-0.25,0.36,0.89,-0.11,0,0.89
0.082,-0.26,0.37,0.88,0,-0.01,0.88
0.091,-0.26,0.36,0.92,-0.09,0.06,0.92
0.099,-0.26,0.35,0.92,-0.1,-0.03,0.92
0.117,-0.27,0.35,0.92,-0.19,-0.07,0.92
0.134,-0.26,0.35,0.92,-0.17,-0.03,0.92
0.139,-0.25,0.36,0.94,-0.11,-0.01,0.94
0.146,-0.24,0.36,0.92,-0.04,0.02,0.92
0.16,-0.24,0.36,0.93,0.03,0.1,0.93
0.17,-0.24,0.35,0.94,-0.02,0.07,0.94
0.182,-0.25,0.35,0.93,0.04,0,0.93
0.194,-0.25,0.35,0.91,-0.02,0.01,0.91
0.205,-0.25,0.36,0.9,-0.01,0.05,0.9
0.217,-0.25,0.35,0.91,-0.06,0.06,0.91
0.235,-0.24,0.35,0.93,-0.06,0.03,0.93
0.241,-0.25,0.35,0.91,0.03,0.06,0.91
0.252,-0.25,0.35,0.88,0.01,0.04,0.88
0.265,-0.25,0.35,0.87,0.01,0.01,0.87
0.279,-0.25,0.34,0.88,-0.03,-0.03,0.88
0.306,-0.25,0.34,0.9,0.03,-0.05,0.9
0.312,-0.25,0.34,0.93,0,-0.03,0.93
0.317,-0.24,0.34,0.96,-0.04,0.02,0.96
0.327,-0.24,0.34,0.96,0.01,-0.02,0.96
0.339,-0.24,0.35,0.92,0.05,0.04,0.92
0.353,-0.22,0.36,0.88,0.16,0.1,0.88
0.358,-0.21,0.36,0.85,0.23,0.14,0.85
0.37,-0.21,0.36,0.84,0.34,0.1,0.84
0.383,-0.21,0.36,0.86,0.34,0.07,0.86
0.393,-0.23,0.35,0.88,0.19,0.09,0.88
0.405,-0.24,0.34,0.9,0.02,-0.01,0.9
0.418,-0.25,0.34,0.91,-0.1,-0.07,0.91
0.428,-0.27,0.34,0.93,-0.18,-0.02,0.93
0.44,-0.26,0.33,0.95,-0.25,-0.07,0.95
0.463,-0.27,0.33,0.96,-0.29,-0.13,0.96
0.464,-0.26,0.34,0.96,-0.26,-0.08,0.96
0.476,-0.24,0.35,0.94,-0.2,-0.03,0.94
0.498,-0.24,0.35,0.94,-0.04,-0.01,0.94
0.505,-0.24,0.34,0.9,0.03,-0.02,0.9
0.526,-0.25,0.35,0.9,0,-0.03,0.9
0.528,-0.24,0.35,0.9,-0.16,0.08,0.9
0.535,-0.25,0.34,0.9,-0.01,0.06,0.9
0.547,-0.26,0.35,0.9,-0.09,-0.03,0.9
0.565,-0.27,0.35,0.92,-0.16,0.02,0.92
0.571,-0.26,0.35,0.93,-0.09,0.04,0.93
0.581,-0.25,0.35,0.92,-0.09,-0.03,0.92
0.592,-0.26,0.35,0.91,-0.03,0.04,0.91
0.604,-0.27,0.35,0.92,-0.12,0.06,0.92
0.617,-0.26,0.36,0.9,-0.2,0.04,0.9
0.635,-0.26,0.36,0.91,-0.08,0.05,0.91
0.642,-0.25,0.36,0.89,-0.05,0.05,0.89
0.652,-0.25,0.36,0.88,-0.02,0,0.88
0.662,-0.25,0.36,0.88,0.02,-0.02,0.88
0.676,-0.25,0.36,0.89,0.03,0.03,0.89
0.687,-0.25,0.36,0.9,0.05,0.03,0.9
0.697,-0.25,0.36,0.9,0.02,0.01,0.9
0.709,-0.25,0.36,0.9,0.07,0,0.9
0.724,-0.25,0.36,0.88,0.05,0.01,0.88
0.733,-0.26,0.36,0.89,-0.08,0.01,0.89
0.75,-0.25,0.37,0.9,-0.03,0.04,0.9
0.759,-0.25,0.37,0.9,0.02,0.07,0.9
0.768,-0.24,0.36,0.89,0.06,0.03,0.89
0.781,-0.25,0.36,0.91,0.12,0,0.91
0.794,-0.26,0.36,0.91,-0.03,0.01,0.91
0.803,-0.27,0.36,0.92,-0.13,-0.03,0.92
0.816,-0.28,0.36,0.91,-0.15,-0.04,0.91
0.828,-0.27,0.37,0.9,-0.21,-0.03,0.9
0.838,-0.26,0.37,0.89,-0.1,0,0.89
0.851,-0.26,0.37,0.89,-0.04,0,0.89
0.863,-0.26,0.37,0.89,0,0.01,0.89
0.873,-0.26,0.37,0.89,0.02,0.03,0.89
0.886,-0.27,0.37,0.89,-0.03,0.02,0.89
0.898,-0.27,0.38,0.9,-0.07,0.04,0.9
0.91,-0.27,0.38,0.91,-0.06,0.07,0.91
0.921,-0.27,0.38,0.91,-0.07,0.06,0.91
0.933,-0.27,0.38,0.89,-0.03,0.02,0.89
0.944,-0.26,0.38,0.88,0,0.01,0.88
0.963,-0.26,0.37,0.87,0.08,0,0.87
0.97,-0.26,0.37,0.88,0.06,-0.02,0.88
0.983,-0.26,0.37,0.9,0.03,-0.05,0.9
0.992,-0.26,0.37,0.91,0,-0.03,0.91
