time,gFx,gFy,gFz,ax,ay,az
0.419,-0.06,0.39,0.93,-0.18,-0.18,0.93
0.905,0.07,0.33,1.21,-0.3,0.2,1.21
1.384,0.31,0.15,0.89,0,-1.31,0.89
1.869,0.18,0.07,0.96,-0.65,-0.53,0.96
2.487,-0.12,0.21,0.91,-0.86,0.94,0.91
3.071,-0.01,0.21,0.88,-0.5,0.49,0.88
3.789,0.13,0.25,0.95,0.98,0.72,0.95
4.604,1.39,0,0.14,5.34,-0.35,0.14
5.044,0.93,-0.9,0.02,1.8,-1.92,0.02
5.453,0.62,-0.58,-0.09,0.03,3.11,-0.09
5.925,0.81,-0.91,-0.29,1.57,-0.06,-0.29
6.561,-1.12,-1.57,0.86,-13.79,-6.14,0.86
7.241,0.33,-1.35,-0.37,1.31,-3.16,-0.37
7.738,-0.14,-1.21,-0.28,-1.64,-1.25,-0.28
8.466,0.15,-0.99,-0.17,-0.32,-0.48,-0.17
9.09,0.29,-0.72,-0.38,0.35,1.62,-0.38
9.62,0.32,-0.84,-0.04,1.22,1.27,-0.04
10.232,0.39,-1.11,-0.02,0.9,-1.75,-0.02
10.663,-0.29,-0.88,-0.09,-3.57,1.66,-0.09
11.371,0.24,-0.77,0.2,-0.2,1.07,0.2
12.02,0.07,-1.16,-0.04,-0.02,-1.35,-0.04
12.592,-0.8,-1.26,0.62,-9.03,-2.28,0.62
13.171,0.3,-0.59,0.43,0.34,2.69,0.43
13.78,0.71,-0.95,-0.17,6.41,0.42,-0.17
14.472,0.75,-0.75,-0.05,6.07,0.93,-0.05
15.054,0.28,-0.07,0.37,-0.29,8.34,0.37
15.692,0.73,-1.28,-0.14,6.87,-2.73,-0.14
16.293,-0.31,-1.69,0.25,-2.39,-5.21,0.25
16.822,-0.4,-1.56,-0.19,-6.54,-5.88,-0.19
17.439,0.06,-0.78,-0.17,-1.34,2.52,-0.17
18.019,-0.3,-1.47,-0.73,-3.23,-3.22,-0.73
18.489,0.49,-1.2,-0.33,4.62,-2.39,-0.33
19.182,-0.3,-2.1,-0.11,5.08,-10.64,-0.11
20.222,0.08,-0.79,0.39,-0.46,1.48,0.39
20.897,0.38,-0.72,-0.66,0.87,2.48,-0.66
21.709,0.59,-0.67,0.34,2.89,2.67,0.34
22.684,-0.05,-1.74,-0.04,-3.19,-8.11,-0.04
23.476,-0.25,-1.15,-0.21,-5.18,-2.22,-0.21
24.123,0.54,-1.13,-0.05,4.62,-1.53,-0.05
25.02,-0.29,-0.11,0.08,-4.6,8.53,0.08
25.772,-0.09,-0.66,0.21,-2.63,2.96,0.21
26.367,-0.07,0.17,0.17,-4.56,9.81,0.17
26.982,0.33,-1.68,0.58,3.74,-7.29,0.58
